SampleName,Loocation
VSM21-SV7-1_A,SVERDRUP
VSM21-BL1-2_A,BELCHER
VSM21-TA7-2_A,TALBOT
VSM21-SV1-1_A ,SVERDRUP
VSM21-BL9-1,BELCHER
VSM21-TA7-3_A ,TALBOT
VSM21-BL1-1,BELCHER
VSM21-SV7-2,SVERDRUP
VIO-30-8-RNA-2,SVERDRUP
VSM21-BL9-2,BELCHER
VIO-44-5-RNA-2,GRISE_FIORD
VIO-12-4-RNA,BELCHER
VIO-6-5-RNA-1,JAKEMAN
VIO-30-2-RNA-2,SVERDRUP
VIO-32-6-RNA2 ,SVERDRUP
VSM21-SV1-2_A,SVERDRUP
